,가게이름,전화번호,카테고리,주소,운영시간,홈페이지,메뉴,블로그리뷰수
87,오프커피,010-6839-3239,카페/디저트, 연무장길 29-17 1F 오프커피,월요일 휴무 | 토요일 11:00~21:00 | 금요일 11:00~21:00 | 목요일 11:00~21:00 | 수요일 11:00~21:00 | 화요일 11:00~21:00 | 일요일 11:00~18:00,http://instagram.com/5ff_coffee,"아메리카노 4,100 | 카페라떼 4,500 | 오프커피 4,700 | 바닐라라떼 5,000 | 아인슈페너 5,000 | 아이스크림라떼 5,700 | 초코라떼 5,000 | 그린티라떼 5,000 | 유자차 5,000 | 레몬차 5,000 | 밀크쉐이크 6,000 | 딸기쉐이크 6,000 | 바질레몬슬러쉬 6,000 | 딸기에이드 6,000 | 레몬에이드 6,000 | 생딸기쥬스 6,500 | 레몬젤라또 5,500 | 바질레몬젤라또 6,000 | 딸기레몬젤라또 6,000 | 믹스젤라또 (2가지 선택) 6,000 | 3가지맛 젤라또 (350cc) 9,000 | 스콘 4,000 | 양송이스프 4,800 | 딸기샌드위치 6,500 | 미제샌드위치(미국식 햄 샌드위치) 6,500",267
88,천지샤브샤브 성수본점,02-499-6334,일식, 성수일로10길 35,,,"*런치할인 훠궈 샤브샤브 (성인) 14,900 | 훠궈 샤브샤브 (성인) 17,900 | 모듬구이+훠궈샤브샤브 (성인) 23,000 | 모듬구이 (성인) 20,900 | 훠궈 샤브샤브 (초등학생) 10,000 | 훠궈 샤브샤브 (7세이하) 5,000 | 모듬구이 (초등학생) 10,000 | 모듬구이 (7세이하) 5,000",266
89,스시메이진 건대점,02-2218-3922,일식, 능동로 92 롯데백화점 9층,"평일 11:30~21:00 (월~금) 브레이크타임 3시-5시 / 평일 저녁만 뷔페 운영 대신 단품 스시 운영합니다. | 주말 11:30~21:30 (토,일 및 공휴일) 브레이크타임 X",,"평일런치 17,900 | 평일디너 17,900 | 주말및공휴일 22,900 | 37개월-7세 7,900 | 초등학생(8세-13세) 10,900",256
90,나누리잡화점,02-467-0344,펍, 연무장길 47 1층 ,토요일 17:30~01:00 | 평일 17:30~01:00 | 일요일 17:30~24:00,,"국산병맥주 500ml 5,000 | 소주 5,000 | 수입병맥주 6,000 | 컨디션 3,000 | 먹태 14,000 | 버터바지락술찜 19,000 | 옛날치킨 15,000 | 명란버터구이 17,000 | 골뱅이무침 19,000 | 삼겹두루치기 16,000 | 스팸계란후라이 13,000 | 한우육회 19,000 | 설탕토스트 9,000",252
91,복만루,02-467-9645,중식, 동일로18길 43,매일 12:00~24:00,,"무한리필샤브샤브 15,000",247
92,업사이드커피,070-7799-7579,카페/디저트, 연무장13길 3,금요일 08:00~21:00 | 목요일 08:00~21:00 | 수요일 08:00~21:00 | 화요일 08:00~21:00 | 월요일 08:00~21:00 | 토요일 12:00~21:00 | 일요일 12:00~21:00,http://instagram.com/up.side_,"해방촌커피 6,000 | 성수커피 6,000 | 뚝섬커피 6,500 | 아메리카노 4,000 | 업사이드커피 5,000 | 에스프레소 4,000 | 플랫화이트 4,500 | 라떼 4,500 | 바닐라빈 라떼 5,000 | 크림모카 6,000 | 시나몬링 6,000 | 밀크카라멜라떼 6,000 | 카페모카 5,500 | 콜드브루 5,500 | 아인슈페너 6,000 | 아포가토 6,000 | 얼그레이밀크티 5,500 | 달고나밀크티 5,500 | 초콜릿 5,500 | 쑥스무디 5,500 | 에이드 5,500 | 자몽주스 5,500 | 시즌주스 6,500 | 피치우롱 6,000 | 히비스커스 베리 5,000 | 카모마일 메들리 5,000 | 페퍼민트루이보스 5,000",237
93,스시메이 성수점,02-466-4918,일식, 연무장7길 7-1 린빌딩 2층,평일 11:30~22:00 14시30분~17시30분 브레이크타임 | 공휴일 11:30~22:00 브레이크타임 없음 | 토요일 11:30~22:00 브레이크타임 없음 | 일요일 휴무,https://sushimayss.modoo.at,"메이초밥 12pcs 12,000 | 특메이초밥 12pcs 17,000 | 일품메이 12pcs 21,000 | 스페셜연어광어 12pcs 36,000 | 연어초밥 12pcs 15,000",237
94,백옥양꼬치,02-466-2642,중식, 뚝섬로23길 97,평일 11:30~01:00 연중무휴,http://www.foodsidae.com/baekok,"양꼬치 13,000 | 소꼬치 15,000 | 고급양갈비 350g 24,000 | 양지머리 20,000 | 닭똥집 10,000 | 오징어 10,000 | 샤브샤브 35,000 | 마라륭샤 35,000 | 마라향궈 30,000 | 꼴뚜기볶음 15,000 | 크램새우 13,000 | 즈란혈관볶음 15,000 | 탕수육 13,000 | 깐쇼새우 13,000 | 대파양고기볶음 15,000 | 철판소고기볶음 18,000 | 향라새우 18,000 | 고수고기볶음 13,000 | 가지튀김 13,000 | 지삼섬 13,000 | 어향가지 13,000 | 마라탕 8,000 | 계란탕 7,000 | 해물누룽지탕 15,000 | 경장육슬 13,000 | 건두부볶음 12,000 | 번데기볶음 15,000 | 마파두부 10,000 | 계란토마토볶음 10,000 | 계란부추볶음 10,000 | 새우청경채 10,000 | 찹쌀순대 10,000 | 양갈비탕 10,000 | 오이라피 10,000 | 건두부오이 10,000",236
95,El Patio,070-8822-5628,펍, 연무장길 10-5,목요일 11:00~00:00 | 수요일 11:00~00:00 | 일요일 11:00~00:00 | 화요일 11:00~00:00 | 토요일 11:00~02:00 | 금요일 11:00~02:00 | 월요일 휴무,http://instagram.com/el_patio___,"El patio 아인슈페너 6,700 | Grano 아인슈페너 6,500 | 패션후르츠 에이드 6,000 | 티블렌딩 에이드 6,000",234
96,라무진 성수점,010-9976-3389,고기집, 아차산로7길 28 1층 20호,금요일 17:00~23:00 | 목요일 17:00~23:00 | 수요일 17:00~23:00 | 화요일 17:00~23:00 | 월요일 17:00~23:00 | 토요일 16:00~23:00 | 일요일 16:00~21:00,http://blog.naver.com/changmin8600,"양갈비 29,000 | 프랜치렉 30,000",233
97,용짜장,02-3409-5679,중식, 아차산로7길 28,매일 11:00~22:00,,"자장면 4,000 | 홍합짬뽕 6,000 | 탕수육 11,000 | 양꼬치 12,000 | 양갈비살 14,000 | 궈보러우 12,000 | 마파두부 12,000 | 가지볶음 12,000 | 건두부볶음 12,000 | 해물짬뽕탕 13,000 | 팔보채 18,000 | 향라대하 18,000 | 매운양꼬치 13,000 | 소고기꼬치 13,000 | 고급양갈비 38,000 | 차돌마라향궈 20,000 | 해물마라향궈 29,000 | 경장육사 13,000 | 깐풍기 13,000 | 고추잡채 15,000 | 양념탕수육 11,000 | 양장피 18,000 | 칠새우 18,000 | 개구리다리볶음 18,000 | 마라탕면 6,000 | 간짜장 5,000 | 쟁반짜장장 6,000 | 삼선간짜장 6,000 | 짬짜면 6,000 | 볶짜면 6,500 | 볶짬면 6,500 | 해물우동 6,000 | 콩국수 6,500 | 중식냉면 6,500 | 볶음밥 5,500 | 잡채밥 6,000 | 해물특밥 7,000 | 짬뽕밥 5,500 | 차돌짬뽕밥 7,000 | 쟁반짬뽕 6,000 | 삼선짬뽕 7,000 | 굴짬뽕 7,000 | 고추덮밥 6,000 | 삼선볶음밥 6,500",226
98,복만루 3호점,02-498-1685,중식, 동일로20길 106 2층,매일 12:00~24:00,https://fumanlou.modoo.at,"무한리필샤브샤브 17,900",221
99,가조쿠,02-466-2177,일식, 연무장길 31-2 1층,매일 11:00~20:00 15:00-17:00 브레이크타임 | 평일 11:00~20:00 15:00-17:00 브레이크타임,,"온소바 9,000 | 냉소바 9,000 | 가조쿠소바 10,000 | 에비텐소바 11,000 | 자루소바 10,000 | 타누키소바 12,000 | 연어덮밥 12,000 | 장어덮밥 15,000 | 키츠네소바 11,000 | 니싱소바 15,000 | 타누키소바 12,000 | 덴푸라 10,000 | 니싱 13,000",220
100,찌마찌마,02-6014-6013,펍, 연무장3길 5-1 2층,평일 11:30~23:00 (19시 식사 마감) | 평일 14:30~17:00 Break Time | 토요일 13:00~23:00 NO Break Time | 공휴일 13:00~23:00 NO Break Time | 일요일 휴무,http://www.instagram.com/zzimazzima,"고등어 미소 조림 정식 11,000 | 치즈 야키 소바 13,000 | 함박스테이크 정식 11,000 | 사케동 (연어 돈부리) 정식 12,000 | 가라아게동 9,000 | 크림연어 스테이크정식 13,000 | 요리 메뉴 17시부터 9,000~30,000 | 로스 카츠 정식 9,000 | 치킨 카츠 정식 9,000 | 로스 카레 정식 10,000 | 치킨 카레 정식 10,000 | 새우 카레 정식 10,000",219
101,haru&oneday,02-499-9303,카페/디저트, 아차산로 92 광명타워,평일 07:30~23:00 | 토요일 09:00~23:00 | 일요일 09:00~22:00,,"아메리카노 4,500 | 카페라떼 5,000 | 바닐라라떼 5,500 | 크리미라떼 5,500 | 아이스볼모카 5,500 | 비엔나커피 6,000 | 초코라떼 5,500 | 아몬드바닐라밀크 5,000 | 트리플베리스무디 6,500 | 루이보스빌베리 5,500 | 플랫화이트 5,000",216
102,쓰리오브어스,02-461-1233,펍, 연무장길 41-18 1층,매일 18:00~00:00 매주 일요일휴무입니다.,http://instagram.com/3_of_us_,"Fried avocado 12,000 | Steamed beef rice paper roll 10,000 | Natural wine 변동가격(업주문의)",214
103,EZER Coffee,02-461-1411,카페/디저트, 성수이로 127 보문127빌딩 1층,평일 08:00~22:00 | 토요일 09:00~22:00 | 일요일 휴무,,"아메리카노 4,500 | 플랫화이트 5,000 | 초코라떼 6,000 | 라떼 5,000 | 카푸치노 5,000 | 페퍼민트/캐모마일/얼그레이 6,500",213
104,대박낙소 성수점,02-3499-4496,고기집, 성수일로10길 26 상가동 1층,매일 10:00~22:30,,"프리미엄 1등급 생소고기 무한리필 22,900 | 프리미엄 1등급 생소고기 +장어무한  24,900 | 프리미엄 1등급 생소고기 +낙지무한 27,900 | 프리미엄 1등급 생소고기 +토마호크 (3~4)기준 1회제공 29,900 | 토마호크 단품 69,000 | 직화낙지볶음 9,000 | 불고기전골 9,000 | 돼지김치전골 7,000 | 우삼겹된장전골 7,000 | 물/비빔냉면 7,000",212
105,브루잉 세레모니,010-8929-4771,카페/디저트, 연무장5가길 22-1 1층,금요일 11:00~21:00 | 목요일 11:00~21:00 | 수요일 11:00~21:00 | 화요일 11:00~21:00 | 토요일 11:00~21:00 | 월요일 11:00~21:00 | 일요일 휴무,https://www.instagram.com/brewingceremony/,"Brewing 6,000 | White 6,000 | Non Coffee 6,500",210
106,오팔,02-466-1311,한식, 연무장7가길 1 1F,토요일 13:00~02:00 브레이크타임 없습니다. | 월요일 16:00~02:00 | 화요일 16:00~02:00 | 금요일 16:00~02:00 | 목요일 16:00~02:00 | 수요일 16:00~02:00 | 일요일 휴무,https://www.instagram.com/offal_sungsu,"매콤항정살덮밥 14,000 | 대창덮밥 15,000 | 전복장 크림덮밥 15,000 | 육회 창난젓 덮밥 13,000 | 우삼겹 간장덮밥 13,000 | 전복내장 파스타 15,000 | 명란 로제파스타 14,000 | 우삼겹 탄탄중화면 14,000 | 명란로제 감자고로케 8,000 | 간장 생새우 5,000 | 육회 한접시 18,000 | 매실원주 9,000 | 이강주 9,000 | 명인안동소주 9,000 | 사랑할 때 10,000 | 황금보리소주 12,000 | 서울의 밤 13,000 | 토끼소주 30,000 | 미인약주 50,000",208
107,계탄집 성수점,02-463-4887,한식, 아차산로7길 36,금요일 17:00~24:00 | 목요일 17:00~24:00 | 수요일 17:00~24:00 | 화요일 17:00~24:00 | 월요일 17:00~24:00 | 토요일 17:00~23:00 | 일요일 휴무,,"마늘소금 12,000 | 간장양념 13,000 | 매운양념 13,000 | 국물닭발 12,000 | 더덕구이 9,000 | 초계국수 6,000 | 초계비빔국수 7,000 | 치즈계란찜 4,000",201
108,중경소면관,02-462-7712,중식, 아차산로30길 42,매일 09:00~22:00,,"담백한 맛 꽈배기 1,500 | 흑미고구마 꽈배기 1,500 | 해바라기 꽈배기 1,500 | 담백한 꽈배기 1,500 | 계란빵 6개 3,000 | 유타오 1,000 | 페스츄리쿠키6개(흑미/팥) 3,000 | 만터우 2개 1,000 | 꽃빵 2개 1,000 | 흑설탕 호떡 1,000 | 옥수수 전병 1,000 | 감자채전 3,000 | 소세지전병 2,000 | 부추 계란전 1,000 | 볶은 땅콩 5,000 | 찹쌀 도너츠 6개(치즈/찹쌀) 3,000 | 월병 1봉 3,500 | 고기소세지 2개 5,000 | 타오수 1봉 3,000 | 강미조 1봉 3,000 | 전병스낵 1봉(흑미/대추/일반) 3,500",198
109,포지티브 제로 라운지,02-462-5994,펍, 연무장길 14-2 지하1층,"평일 19:00~01:00 수~금요일/라이브 1부(20:30~21:15), 2부(21:45~22:30) | 주말 19:00~01:00 라이브 1부(20:30~21:15), 2부(21:45~22:30) | 월요일 휴무 | 화요일 휴무",https://linktr.ee/positive_zero_lounge,"Whiskey 변동가격(업주문의) | Wine 변동가격(업주문의) | Cheese Board 16,000",196
110,직화삼곱,02-461-0108,한식, 아차산로 97 1층,평일 11:00~22:00 | 주말 13:00~22:00 | 금요일 14:00~16:00 브레이크타임 | 목요일 14:00~16:00 브레이크타임 | 수요일 14:00~16:00 브레이크타임 | 화요일 14:00~16:00 브레이크타임 | 월요일 14:00~16:00 브레이크타임,,"직화트윈세트 53,000 | 숯불뼈구이세트 61,000 | 곱창모둠한판 38,000 | 양대창모둠한판 41,000 | 직화전골세트 45,000 | 양대창전골세트 55,000 | 숙성꿀살 16,000 | 숙성삼겹살 16,000 | 천겹항정살 17,000 | 곱창구이 17,000 | 대창구이 17,000 | 특양구이 20,000 | 막창구이 17,000 | 염통구이 10,000 | 특제계란장밥 3,000 | 한우왕된장찌개 7,000 | 김치찌개 7,000 | 숯불뼈구이(반접시) 16,000 | 비빔쫄면 6,000 | 화산양밥 12,000 | 곱창전골 25,000 | 신사육회 21,000 | 숙녀육회 22,000",195
111,멜라,02-469-9997,양식, 연무장길 39-25 멜라,매일 10:30~20:00 라스트오더 저녁7시 10분 /휴무 공지 :인스타그램 @cafe_mela,https://app.catchtable.co.kr/ct/shop/mela,"미나리봉골레 17,000 | 프렌치토스트 13,900 | 아메리카노 4,000 | 카페라떼 4,500 | 바닐라라떼 5,000 | 연유라떼 5,000 | 코코넛 연유라떼 5,000 | 모카쇼콜라 5,500 | 플라워 아이스티 5,500 | 플라워유자아이스 5,500 | 씨트러스 핑크 4,500 | 미스틱 퍼플 4,500 | 백향과에이드 6,000 | 허니 레몬에이드 6,000 | 자몽에이드 6,000 | 오렌지 티 스쿼시 7,000 | 콜라/사이다 3,000 | 멜버터크림 라떼 6,000 | 블랑크림 라떼 5,500 | 흑임자크림 라떼 5,500 | 백향과 라떼 6,000 | 리얼초코라떼 5,500 | 1664블랑 9,000 | 비라모레띠 8,000 | 담레몬 7,000 | 레드/화이트 8,000 | 로제 10,000 | 시저 샐러드 12,900 | 그래놀라 그릭요거트 8,500 | 에그 베네딕트 14,900 | 멜라 샌드위치 9,500 | 에그 아보카도 샌드위치 11,000 | 아보카도 리토다오픈 토스트 12,900 | 머쉬룸 오픈 토스트 12,900 | 미나리 봉골레 17,000 | 머쉬룸드림리가토니 17,000 | 라구 리가토니 21,000 | 프렌치프라이 8,000 | 크로플 플레이트 12,000 | 미니크로아상 with사과콤포트 4,900",191
112,고기다,02-544-9209,고기집, 성수일로12길 20 1층 102호,매일 11:00~22:00,,"드라이에이징 등심 50,000 | 워터에이징 고기다 모듬 32,000 | 워터에이징 등심 35,000 | 워터에이징 안심 40,000 | 워터에이징 채끝 32,000 | 워터에이징 살치 40,000 | 워터에이징 안창살 50,000",190
113,고기대통령 본점,02-462-9080,고기집, 능동로 91 2층,매일 11:30~23:30,http://meatpresident.kr/layout/res/home.php?go=main#self,"무한리필 이용권(점심할인, 11:30-13:30까지 입장고객, 주말 제외, 공휴일 제외) 19,900 | 무한리필 이용권(성인) 22,500 | 무한리필 이용권(초등학생) 14,900 | 무한리필 이용권(유아, 0-3세 무료) 4,900 | 물냉면 / 비빔냉면 5,000",189
114,스탠드업플리즈바이턴온,,카페/디저트, 연무장3길 14,평일 09:00~18:00 | 주말 12:00~18:00,,"에스프레소 1,800 | 마끼아또 2,300 | 콘파냐 2,300 | 마르소 2,800 | 빈센트 2,800 | 카푸치노 2,800 | 아포가토 바닐라 & 녹차 3,500 | 아메리카노 2,300 | 라떼 2,800 | 캔커피 바닐라라떼 3,000 | 미니 브라우니 초코&얼그레이 2,000",188
115,제주국수,02-466-8687,한식, 성수이로 118,매일 11:00~24:00,,"고기국수 8,000",184
116,일일향 성수10호점,02-462-2777,중식, 성수일로6길 47 2층,매일 11:30~21:30 명절 당일 휴무,http://www.yilyilhyang.com,"옛날짬뽕 8,000 | 짜장면 7,000 | 육즙돼지고기탕수육 28,000 | 어향동고 37,000 | 전가복 74,000 | 가지튀김 35,000 | 옛날볶음밥+계란후라이 8,000 | 대게살볶음 48,000 | 광동샥스핀 53,000 | 깐풍기 30,000 | 멘보샤 35,000 | 유린기 30,000 | 특품냉채 63,000",178
117,춘하추우동,010-2733-5327,일식, 연무장3길 8-27 춘하추우동,평일 11:00~21:00 점심 마지막 주문 오후 3시 (브레이크타임 : 오후 3시 ~ 오후 5시) / 저녁 마지막 주문 오후 8시 30분 | 토요일 11:00~15:00 마지막 주문 오후 3시 | 공휴일 휴무 | 일요일 휴무,,"우동 6,000 | 카츠동 7,500 | 치즈 카츠 카레 8,500 | 가라아게 5,000 | 냉모밀(판모밀) *시즌메뉴* 7,500",175
118,대흥양다리바베큐 건대점,02-468-6669,중식, 아차산로30길 39 1층,매일 12:00~00:00 무휴일,,"양다리(특) 80,000 | 양다리 (대) 70,000 | 양다리(소) 55,000 | 양곰탕 10,000 | 대흥양꼬치 13,000 | 양만두 6,000 | 고급양갈비 25,000",170
119,파스트 팔레트,010-2068-6281,기타, 연무장길 37-5 1,평일 11:00~00:00 | 금요일 11:00~02:00 | 주말 11:00~02:00,https://pf.kakao.com/_RxcJxjs,"아메리카노 5,000 | 하우스와인 (1잔) 7,000 | 하우스맥주 (400ml) 7,000 | 생꼼 꼬뜨뒤 론 57,000 | 알베르 비쇼 샤블리 프리미에 크뤼 102,000 | 잉글리쉬 블랙퍼스트 14,000 | 엘리자베스 블랙퍼스트 18,000 | 프렌치 토스트 13,000 | 만조 크림 파스타 17,000 | 크림파스타 14,000 | 베이컨 알리올리오 13,000 | 감바스 알 아히요 24,000 | 봉골레 스튜 19,000",168
120,하남돼지집 성수역점,02-467-3690,고기집, 아차산로 85,평일 17:00~24:00 | 주말 16:30~00:00,http://www.hanampig.co.kr/,"생삼겹살(180g) 14,000 | 특목살(180g) 14,000 | 생갈비(200g) 14,000 | 갈매기살(150g) 14,000 | 항정살(150g) 16,000 | 가브리살(150g) 14,000 | 모둠한판(600g) 40,000 | 특별한판(600g) 54,000",165
121,사람사는 고깃집 김일도 성수점,02-499-1123,고기집, 성수이로 90,"매일 11:30~22:00 브레이크타임15:00~17:00/ 주말,공휴일 브레이크타임 없음",https://www.gorillafnd.co.kr/,"김일도한판(700g) 52,000 | 삼겹살(160g) 15,000 | 꽃목살(160g) 15,000 | 양념소갈빗살(150g) 18,000 | 갈매기살(150g) 16,000 | 항정살(150g) 16,000 | 가브리살(150g) 16,000 | 수제소세지(120g) 6,000 | 추가 모듬버섯 5,000 | 추가 옛날김치찌개 6,000 | 속풀이된장술밥 6,000 | 깍두기볶음밥 6,000 | 가락청국장찌개 8,000 | 김일도 물냉면 6,000 | 김일도 비빔냉면 6,000 | 한돈불제육쌈밥 8,000 | 해남묵은지김치찌개 8,000 | 몽우리순두부 8,000",164
122,황금어장,02-466-8806,한식, 아차산로 96 신성빌딩,평일 15:00~24:00 | 일요일 휴무,,"회덮밥 10,000 | 알탕 25,000 | 전어회 30,000",164
123,라온석갈비,02-466-1616,고기집, 성수이로 119 덕산엔터프라이즈 1층 라온석갈비,매일 11:30~22:00 (브레이크타임 15~16시30분) | 일요일 휴무,,"직화돼지갈비 17,000 | 직화소갈비 30,000 | 소갈비찜 63,000 | 갈비탕 14,000 | 전복삼계갈비탕 25,000 | 차돌된장 8,500 | 매운돼지갈비 18,000",163
124,시옹마오,02-6401-0119,아시안식, 연무장7길 7-1 3층 시옹마오,월요일 00:30~01:00,https://www.instagram.com/xiongmao_asianfood,"우육면 11,800 | 어향가지 13,800 | 연태 하이볼 8,000",162
125,외가집,02-463-0748,고기집, 연무장길 17 1층,평일 17:00~24:00 | 토요일 17:00~23:00 | 일요일 휴무,,"삼겹살/갈매기살(200g) 15,000 | 매운갈매기살/항정살(200g) 16,000 | 칼국수/비빔국수/김치말이국 5,000",159
126,성수부두,010-7939-0978,씨푸드, 연무장길 41-26 지하 1층,금요일 16:00~00:30 | 목요일 16:00~00:30 | 수요일 16:00~00:30 | 화요일 16:00~00:30 | 월요일 16:00~00:30 | 일요일 휴무 | 토요일 13:00~00:30,,"조개구이 2인 46,900 | 조개찜 2인 46,900",158
127,호랑이 초밥,02-498-4499,일식, 아차산로7길 14,매일 11:30~22:00 브레이크타임 15:00~17:00,http://instagram.com/tigersushi_korea,"런치호랑이모듬 9,000 | 런치호랑이특 14,000 | 호랑이모듬 10,000 | 호랑이특모듬 15,000 | 호랑이특상(도로포함) 20,000 | 사시미2인 20,000 | 사시미3~4인 38,000 | 도로초밥 20,000 | 오도로사시미 26,000 | 주도로사시미 24,000 | 차돌폭탄짬뽕 16,000 | 2인셋트A 30,000 | 2인세트B 36,000 | 올리브연어아보카도 18,000 | 연어+광어 14,000",157
128,맛을 그리다by예빈당,02-3443-5542,카페/디저트, 성수이로 87 성문빌딩 1층,금요일 08:00~22:00 | 목요일 08:00~22:00 | 수요일 08:00~22:00 | 화요일 08:00~22:00 | 월요일 08:00~22:00 | 토요일 10:00~22:00 | 공휴일 10:00~22:00 | 일요일 10:00~21:00,http://www.yebindang.com/,"아메리카노 3,500~4,000 | 오미자차 6,500 | 팥빙수 9,000 | 비트사과차 6,500 | 팥라떼 6,000 | 쌀케이크  6,000",153
129,넛츠버거,02-6953-4502,양식, 연무장길 37-7 1층 넛츠버거,토요일 11:30~21:00 L.O 20:30 / Break 16:00 - 17:00 | 금요일 11:30~21:00 L.O 20:30 / Break 16:00 - 17:00 | 목요일 11:30~21:00 L.O 20:30 / Break 16:00 - 17:00 | 수요일 11:30~21:00 L.O 20:30 / Break 16:00 - 17:00 | 화요일 11:30~21:00 L.O 20:30 / Break 16:00 - 17:00 | 일요일 11:30~21:00 L.O 20:30 / Break 16:00 - 17:00 | 월요일 휴무,https://www.instagram.com/nutsburger_soeul,"Lunch set. 1 오리지널 치즈 버거 8,000 | Lunch set. 2 오리지널 치즈 버거 10,500 | P.C.B 6,500 | Hot Chicken 7,000 | H.C.B 6,500 | O.C.B 6,000 | Lunch set. 1 피넛 치즈버거 8,500 | Lunch set. 1 핫 치즈버거 8,500 | Lunch set. 2 핫 치즈 버거 11,000",149
130,성수이루다,070-8286-8350,양식, 연무장7가길 2 지층,토요일 11:30~23:00 | 일요일 11:30~23:00 | 금요일 11:30~23:00 14:30~17:00브레이크타임 | 목요일 11:30~23:00 14:30~17:00브레이크타임 | 수요일 11:30~23:00 14:30~17:00브레이크타임 | 화요일 11:30~23:00 14:30~17:00브레이크타임 | 월요일 11:30~23:00 14:30~17:00브레이크타임,http://instagram.com/2loo.da,"청양고추크림파스타 15,000 | 명란감자전 15,000 | 나폴리탄 파스타 14,000 | 꾸덕 까르보나라 12,900 | 베이컨할라피뇨오일파스타 14,000",149
131,이북집 찹쌀순대 성수점,02-464-2270,한식, 성수이로20길 10 101호,매일 00:00~24:00 365일 연중 무휴,,"순대국밥 8,000 | 아바이순대 15,000 | 회냉면 9,000 | 이북집정식 14,000 | 섞어접시 6,000 | 한접시(고기/순대) 6,000 | 함흥물냉면 8,000 | 술국+오소리감투Set 35,000 | 술국+수육Set 39,000 | 야채찹쌀순대 14,000",141
132,스타벅스 성수역점,1522-3232,카페, 성수이로 94,목요일 07:00~22:00 | 금요일 07:00~22:00 | 토요일 08:00~21:00 | 일요일 08:00~20:00 | 월요일 07:00~22:00 | 화요일 07:00~22:00 | 수요일 07:00~22:00,http://www.starbucks.co.kr/,"카페 아메리카노 4,500 | 카페 라떼 5,000 | 스타벅스 돌체 라떼 5,900 | 카라멜 마키아또 5,900 | 카푸치노 5,000 | 카페 모카 5,500 | 화이트 초콜릿 모카 5,900 | 콜드 브루 4,900 | 자몽 허니 블랙 티 5,700 | 아이스 자몽 허니 블랙 티 5,700 | 망고 바나나 블렌디드 6,300 | 에스프레소 프라푸치노 5,500 | 자바 칩 프라푸치노 6,300",137
133,비아트 성수,070-5213-5586,카페/디저트, 아차산로5길 24-45 2층,매일 12:00~19:00,https://beartseongsu.modoo.at,"쑥 크림 7,500 | 카카오 브리틀 7,500 | 바질 브라운 6,500 | 크림앤치즈 6,500 | 시그니쳐(넛모스피어) 6,000 | 라벤더 블로섬 5,500 | 딥 초코 6,500 | 시트러스 에이드 6,000 | 머스크 소다 5,500 | 아메리카노 4,000 | 카페라떼 4,500 | 바닐라라떼 5,000 | 카푸치노 4,500 | 아인슈패너 5,000 | 스위트 말차 5,000",134
134,스시현,02-3499-4299,일식," 성수일로10길 26 201호 스시현, 성수역 1번출구 도보 3분거리입니다., 성수역 1번출구 도보 3분거리입니다., 성수역 1번출구 도보 3분거리입니다.",매일 11:30~22:00 준비시간 15:00-17:00 | 주말 11:30~22:00 준비시간 없음,,"오늘의초밥 12,000 | 모듬 초밥(11pcs) 14,000 | 특선초밥 (12pcs) 18,000 | V.I.P 초밥 (14pcs) 25,000 | 연어롤 13,000 | 계란새우초밥(10pcs) 20,000 | 참치초밥(10pcs) 20,000 | 직화구이 모듬초밥(10pcs) 20,000 | 소고기불초밥(10pcs) 20,000 | 민물장어초밥(8pcs) 22,000 | 연어 + 연어불초밥(10pcs) 18,000 | 연어 + 활어초밥(10pcs) 18,000 | 연어 + 소불고기초밥(10pcs) 16,000 | 연어 + 계란새우초밥(10pcs) 18,000 | 소고기 + 계란새우초밥(10pcs) 20,000 | 커플정식(2인) 35,000 | 사시미정식(2인) 48,000 | 사시미 모듬회(2인) 49,000 | 사시미 모듬회(3인) 69,000 | 특사시미 89,000 | 연어사시미 단품 18,000 | 모듬사시미 단품 20,000 | 우동초밥정식 12,000 | 냉모밀초밥정식 12,000 | 수제돈가스정식 10,000 | 활어회덮밥 + 우동 (한정수량) 10,000 | 연어덮밥(사케동) 12,000 | 민물장어덮밥 20,000 | 수제안심돈가스 8,000 | 알밥 + 우동 7,000 | 우동 6,000 | 냉모밀 6,000 | 새우튀김우동 8,000 | 런치정식 9,000 | 점심특선 활어회덮밥(한정수량) 9,000 | 점심특선 수제안심돈가스정식 9,000",134
135,고흥순대국머리고기,02-497-7876,한식, 아차산로34길 26,매일 06:00~02:00 | 일요일 06:00~23:00,,"순대국 7,000 | 순대국 특 8,000 | 돼지국밥 7,000 | 돼지국밥 특 8,000 | 내장탕 8,000 | 술국 15,000 | 머리고기 중 13,000 | 머리고기 대 16,000 | 순대한접시 10,000 | 모듬 20,000",131
